"Track","Artists","Alltime plays","Plays 12m","Plays 1m","Plays 1w","Release date"
"Mattia Saviolo B2B Nico Cabeza @ BIRGIT (Berlin) 22.04.23 (1Hour Extracted)","Mattia Saviolo","4732","4055","139","16","2023-04-25"
"Mattia Saviolo @ SISYPHOS (Berlin), DE 18.03.2022 (Last Hour) FREE DOWNLOAD","Mattia Saviolo","4153","719","40","2","2022-03-27"
"Mattia Saviolo @ Tanzhaus West, Frankfurt 11.01.2020 FULL SET","Mattia Saviolo","2817","228","5","0","2020-01-14"
"Mattia Saviolo @ SCHWEFEL RAVE, BADEN - 15.07.23 --- FREE DOWNLOAD","Mattia Saviolo","2390","2263","198","25","2023-07-21"
"MATTIA SAVIOLO @ SISYPHOS 26.03.23 (1Hr Extract)","Mattia Saviolo","2308","1908","30","3","2023-03-27"
"MATTIA SAVIOLO @ SISYPHOS, Hammahalle, 16.09.23","Mattia Saviolo","2138","1487","149","11","2023-09-18"
"Mattia Saviolo @ SISYPHOS 04.08.2019 (1st hour) --- FREE DOWNLOAD","Mattia Saviolo","2091","64","1","0","2019-08-15"
"Mattia Saviolo @ LEGAL KLUB 28.10.23 (1hour Extract)","Mattia Saviolo","1845","1765","224","17","2023-11-05"
"Mattia Saviolo @ TAKTLOS Essen 14.12.2019","Mattia Saviolo","1790","93","2","0","2019-12-20"
"Mattia Saviolo @ KITKAT Club, Berlin 01.01.23 NYE --- FREE DOWNLOAD!!!","Mattia Saviolo","1620","1176","29","3","2023-01-07"
"Mattia Saviolo @ SISYPHOS, Tunnel stage (Last hour) 03.07.22 FREE DOWNLOAD","Mattia Saviolo","1567","305","7","0","2022-07-06"
"MATTIA SAVIOLO @ SISYPHOS 18.05.23 (Highlights) --- FREE DOWNLOAD!!!","Mattia Saviolo","1204","1146","16","2","2023-05-21"
"MS PODCAST 05","Mattia Saviolo","820","46","0","0","2018-12-21"
"Mattia Saviolo X DREAM BABY DREAM (Berlin) FREE DOWNLOAD","Mattia Saviolo","268","129","6","1","2022-11-29"
"MS PODCAST 04","Mattia Saviolo","203","10","0","0","2018-11-23"
"MS PODCAST 02","Mattia Saviolo","182","9","0","0","2018-07-31"
"MS PODCAST 03","Mattia Saviolo","134","8","0","0","2018-09-28"