"Date","Spotify followers total","Spotify followers new","Youtube subscribers total","Youtube subscribers new","Instagram followers total","Instagram followers new","Facebook followers total","Facebook followers new","Deezer fans total","Deezer fans new","X followers total","X followers new","Soundcloud followers total","Soundcloud followers new","Tiktok followers total","Tiktok followers new"
"2023-03-06","362015","387","346000","1200","357366","771","234670","352","179846","64","28536","23","255663","153","",""
"2023-03-13","363069","1045","347000","1400","358443","917","234772","92","179963","108","28552","23","255947","286","",""
"2023-03-20","364218","1117","349000","1400","359269","986","234935","171","180077","111","28575","23","256217","269","",""
"2023-03-27","365220","1057","350000","1165","360248","874","235188","224","180165","100","28563","-12","256477","270","",""
"2023-04-03","366057","859","351000","1120","360708","565","235426","278","180242","76","28557","-8","256737","263","",""
"2023-04-10","366854","808","352000","1000","361564","660","235569","138","180315","70","28564","11","257002","259","",""
"2023-04-17","367742","846","353000","965","362256","888","235685","125","180394","75","28564","0","257254","248","",""
"2023-04-24","368946","1096","354000","750","363367","1316","235872","129","180468","81","28564","0","257592","344","",""
"2023-05-01","369803","1015","355000","875","364923","1203","236237","422","180555","85","28564","0","257901","296","",""
"2023-05-08","370762","947","355000","875","365458","683","236383","66","180644","92","28564","0","258293","396","",""
"2023-05-15","371639","839","356000","750","366348","890","236664","348","180709","67","28564","0","258674","378","",""
"2023-05-22","372615","968","357000","875","367691","1343","236707","60","180803","88","28564","0","259072","399","",""
"2023-05-29","373622","1045","358000","910","368617","774","236947","29","180904","101","28564","0","259464","372","",""
"2023-06-05","374652","988","359000","840","369904","1439","237325","528","180993","93","28564","0","259832","389","",""
"2023-06-12","375673","1062","360000","875","370925","1021","237443","168","181080","78","28564","0","260203","367","",""
"2023-06-19","376778","1081","361000","1142","372569","1458","237721","281","181159","83","28564","0","260581","381","",""
"2023-06-26","377716","939","362000","1000","373435","1052","237736","14","181247","87","28564","0","260917","326","",""
"2023-07-03","378727","990","363000","1023","374591","1156","237806","75","181332","82","28564","0","261210","318","",""
"2023-07-10","379840","1074","364000","1167","375744","945","237926","96","181436","101","28564","0","261525","312","",""
"2023-07-17","380882","1086","365000","918","376543","869","237985","74","181509","83","28564","0","261830","286","",""
"2023-07-24","382015","1170","366000","750","376885","711","238088","94","181618","107","28564","0","262125","327","",""
"2023-07-31","383092","1060","366000","750","378441","860","238130","68","181701","77","28564","0","262261","239","",""
"2023-08-07","384174","1041","367000","875","379596","1331","238177","47","181803","114","28564","0","262565","274","",""
"2023-08-14","385388","1233","369000","1625","380721","1227","238214","29","181905","93","28564","0","262950","295","",""
"2023-08-21","386541","1178","370000","750","382281","1571","238239","34","181992","92","28564","0","263208","270","",""
"2023-08-28","387505","970","370000","500","383470","1133","238272","32","182115","118","28564","0","263500","270","",""
"2023-09-04","388445","936","371000","750","384411","1093","238286","14","182226","117","28564","0","263655","236","",""
"2023-09-11","389456","1012","372000","750","385702","1371","238331","45","182341","104","28564","0","263972","244","",""
"2023-09-18","390514","1022","372000","750","386195","898","238331","39","182451","111","28564","0","264162","231","",""
"2023-09-25","391568","1100","373000","625","388041","1343","238435","73","182557","115","28564","0","264340","236","",""
"2023-10-02","392564","955","374000","750","389125","1019","238470","27","182655","87","28564","0","264630","232","",""
"2023-10-09","393479","800","375000","875","390225","1012","238470","0","182750","92","28564","0","264773","196","",""
"2023-10-16","394348","884","376000","875","390943","806","238470","0","182833","83","28564","0","265064","208","",""
"2023-10-23","394666","271","376000","625","391278","673","238470","174","182940","104","28564","0","265300","266","",""
"2023-10-30","395621","982","377000","875","392128","825","239194","550","183067","123","28564","0","265508","247","",""
"2023-11-06","396555","934","378000","875","392929","651","239230","44","183197","132","28564","0","265741","269","",""
"2023-11-13","397598","1042","379000","750","393672","832","239277","39","183327","126","28564","0","265956","255","",""
"2023-11-20","398614","1012","380000","875","394435","674","239343","38","183462","144","28564","0","266324","223","",""
"2023-11-27","399510","907","380000","875","394950","515","239343","81","183566","110","28564","0","266569","241","",""
"2023-12-04","401013","1453","382000","1083","395527","497","239491","130","183685","113","28564","0","266814","265","",""
"2023-12-11","402135","1143","382000","417","395412","-32","239615","89","183780","92","28564","0","267038","222","",""
"2023-12-18","403057","1003","383000","915","396643","1077","239724","109","183880","107","28564","0","267223","185","",""
"2023-12-25","403536","477","384000","1085","396643","154","239834","97","183967","85","28564","0","267418","187","",""
"2024-01-01","404210","636","385000","750","396643","0","239911","90","184055","81","28564","0","267646","219","",""
"2024-01-08","405228","1019","385000","500","396643","937","239911","0","184137","83","28564","0","267646","251","",""
"2024-01-15","406160","936","386000","999","400400","2820","239911","0","184221","94","28564","0","267967","228","",""
"2024-01-22","406994","835","387000","501","400400","279","239911","77","184317","88","28564","0","268179","215","",""
"2024-01-29","407759","902","387000","750","401144","668","240114","114","184416","97","28564","0","268407","204","",""
"2024-02-05","408915","1032","389000","1250","401759","412","240114","119","184530","112","28564","0","268621","211","",""
"2024-02-12","409442","557","390000","1000","401759","0","240259","38","184623","94","28564","0","268860","245","",""
"2024-02-19","410055","641","390000","750","401759","0","240259","0","184733","116","28564","0","269144","247","",""
"2024-02-26","411068","898","391000","750","401759","0","240975","626","184843","102","28564","0","269473","259","",""