"Date","Followers","Monthly listeners","Monthly streams","Listeners/followers","Streams/listeners"
"2021-02-28","N/A","N/A","12898518","N/A","N/A"
"2021-03-07","21350074","35647866","12571142","1.67","0.35"
"2021-03-14","21390497","35697537","12435707","1.67","0.35"
"2021-03-21","21430755","35734600","11331623","1.67","0.32"
"2021-03-28","21470143","35477920","11361321","1.65","0.32"
"2021-04-04","21504107","35756107","11324062","1.66","0.32"
"2021-04-11","21536992","36008807","11016469","1.67","0.31"
"2021-04-18","21566938","36166921","11151198","1.68","0.31"
"2021-04-25","21592947","36222712","11293617","1.68","0.31"
"2021-05-02","21613723","36054413","12646308","1.67","0.35"
"2021-05-09","21629317","35970046","12335371","1.66","0.34"
"2021-05-16","21643843","36141458","12865267","1.67","0.36"
"2021-05-23","21659028","36253140","13393959","1.67","0.37"
"2021-05-30","21682836","36435499","14121101","1.68","0.39"
"2021-06-06","21705722","38565783","15397043","1.78","0.40"
"2021-06-13","21738653","41042246","23056336","1.89","0.56"
"2021-06-20","21764374","42838336","21660211","1.97","0.51"
"2021-06-27","21787983","44141591","21219396","2.03","0.48"
"2021-07-04","21808095","44276169","20426894","2.03","0.46"
"2021-07-11","21828452","43981284","20576109","2.01","0.47"
"2021-07-18","21851668","44012963","21733612","2.01","0.49"
"2021-07-25","21877532","44193365","21425348","2.02","0.48"
"2021-08-01","21897614","44067136","16806160","2.01","0.38"
"2021-08-08","21925268","43215285","21593600","1.97","0.50"
"2021-08-15","21946934","42754666","18766909","1.95","0.44"
"2021-08-22","21974648","42150054","19481489","1.92","0.46"
"2021-08-29","22010307","41623203","18340167","1.89","0.44"
"2021-09-05","22031797","41252078","17341317","1.87","0.42"
"2021-09-12","22073882","40456584","16618295","1.83","0.41"
"2021-09-19","22101534","39783303","16176153","1.80","0.41"
"2021-09-26","22138647","39350689","17337157","1.78","0.44"
"2021-10-03","22159652","38860100","8918619","1.75","0.23"
"2021-10-10","22175189","38539039","22382900","1.74","0.58"
"2021-10-17","22196795","38026370","14729752","1.71","0.39"
"2021-10-24","22214106","37346489","14400457","1.68","0.39"
"2021-10-31","22236022","37087040","14509971","1.67","0.39"
"2021-11-07","22254822","36826199","14368462","1.65","0.39"
"2021-11-14","22270915","36491887","13711457","1.64","0.38"
"2021-11-21","22288633","36155204","13256311","1.62","0.37"
"2021-11-28","22303659","35641199","13055220","1.60","0.37"
"2021-12-05","22323621","35283711","13254446","1.58","0.38"
"2021-12-12","22339303","35091020","13029641","1.57","0.37"
"2021-12-19","22359149","34883268","12860287","1.56","0.37"
"2021-12-26","22378882","34586220","11888673","1.55","0.34"
"2022-01-02","22396997","35541935","12870980","1.59","0.36"
"2022-01-09","22416117","35695171","12655343","1.59","0.35"
"2022-01-16","22436987","35779078","5212788","1.59","0.15"
"2022-01-23","22452871","36635489","20898670","1.63","0.57"
"2022-01-30","22470054","36231776","14594669","1.61","0.40"
"2022-02-06","22486194","36449258","12700713","1.62","0.35"
"2022-02-13","22501131","36741132","12381898","1.63","0.34"
"2022-02-20","22514723","36762965","12202476","1.63","0.33"
"2022-02-27","22527087","36559470","12153127","1.62","0.33"
"2022-03-06","22546068","36838409","49004309","1.63","1.33"
"2022-03-13","22565752","36961296","48356246","1.64","1.31"
"2022-03-20","22580563","37254406","49966531","1.65","1.34"
"2022-03-27","22596800","37581648","51086310","1.66","1.36"
"2022-04-03","22614400","37643419","52142067","1.66","1.39"
"2022-04-10","22631931","37791763","41472165","1.67","1.10"
"2022-04-17","22651891","38165205","52426083","1.68","1.37"
"2022-04-24","22671284","38504474","53143337","1.70","1.38"
"2022-05-01","22687943","38795109","53544690","1.71","1.38"
"2022-05-08","22701331","39055881","52979773","1.72","1.36"
"2022-05-15","22715598","39247730","53766720","1.73","1.37"
"2022-05-22","22729564","39458378","55030133","1.74","1.39"
"2022-05-29","22745548","41804067","56004283","1.84","1.34"
"2022-06-05","22762963","46996255","63438623","2.06","1.35"
"2022-06-12","22780532","50850744","65723499","2.23","1.29"
"2022-06-19","22796811","53999186","66622811","2.37","1.23"
"2022-06-26","22813864","55686144","75119428","2.44","1.35"
"2022-07-03","22843811","55342457","73219590","2.42","1.32"
"2022-07-10","22861250","55315099","71664265","2.42","1.30"
"2022-07-17","22878433","55397246","70346856","2.42","1.27"
"2022-07-24","22897170","56214976","70864444","2.46","1.26"
"2022-07-31","22916930","56498083","67600263","2.47","1.20"
"2022-08-07","22940266","57542290","67601201","2.51","1.17"
"2022-08-14","22963555","58949191","77362240","2.57","1.31"
"2022-08-21","22987034","58901193","63331267","2.56","1.08"
"2022-08-28","23004333","58776149","82958576","2.56","1.41"
"2022-09-04","23009088","57853685","70333981","2.51","1.22"
"2022-09-11","22798647","55998602","67192401","2.46","1.20"
"2022-09-18","22817384","54758006","65039039","2.40","1.19"
"2022-09-25","22834994","53540851","62342677","2.34","1.16"
"2022-10-02","22852904","52168138","61992524","2.28","1.19"
"2022-10-09","22868863","51130701","60611129","2.24","1.19"
"2022-10-16","22884039","50258065","59932251","2.20","1.19"
"2022-10-23","22900321","49674298","60180874","2.17","1.21"
"2022-10-30","22915563","49389615","59652824","2.16","1.21"
"2022-11-06","22930539","49214682","59053428","2.15","1.20"
"2022-11-13","22945243","48875870","58427314","2.13","1.20"
"2022-11-20","22959529","48457697","58203029","2.11","1.20"
"2022-11-27","22974585","47848288","56158385","2.08","1.17"
"2022-12-04","22996497","47280545","56353579","2.06","1.19"
"2022-12-11","23016456","46902624","55787793","2.04","1.19"
"2022-12-18","23036094","46610683","55800200","2.02","1.20"
"2022-12-25","23055215","46570902","51014799","2.02","1.10"
"2023-01-01","23079962","48087931","56239504","2.08","1.17"
"2023-01-08","23098997","49219678","65693124","2.13","1.33"
"2023-01-15","23117578","49800830","59333827","2.15","1.19"
"2023-01-22","23134917","50279228","57617646","2.17","1.15"
"2023-01-29","23151881","51070065","59957250","2.21","1.17"
"2023-02-05","23167941","53658652","73408887","2.32","1.37"
"2023-02-12","23176724","55422742","72581285","2.39","1.31"
"2023-02-19","23191722","60245746","91965481","2.60","1.53"
"2023-02-26","23207463","61787735","68482196","2.66","1.11"
"2023-03-05","23226441","61503980","66482075","2.65","1.08"
"2023-03-12","23242045","62173440","65069777","2.67","1.05"
"2023-03-19","23255723","61810173","74486943","2.66","1.21"
"2023-03-26","23268570","62336507","75325560","2.68","1.21"
"2023-04-02","23282135","63104030","84835618","2.71","1.34"
"2023-04-09","23302747","63675326","74220980","2.73","1.17"
"2023-04-16","23313405","63895695","74748061","2.74","1.17"
"2023-04-23","23337935","64214678","82541090","2.75","1.29"
"2023-04-30","23352656","64748721","103596075","2.77","1.60"
"2023-05-07","23366803","65239757","90491197","2.79","1.39"
"2023-05-14","23375014","65507266","91476131","2.80","1.40"
"2023-05-21","23389903","65762925","92265564","2.81","1.40"
"2023-05-28","23403745","66379951","94626623","2.84","1.43"
"2023-06-04","23417437","66732749","94828203","2.85","1.42"
"2023-06-11","23418424","67057160","93769857","2.86","1.40"
"2023-06-18","23433748","67342768","94974623","2.87","1.41"
"2023-06-25","23448553","66995007","91922789","2.86","1.37"
"2023-07-02","23464887","66553224","89788583","2.84","1.35"
"2023-07-09","23481231","66096421","89548583","2.81","1.35"
"2023-07-16","23496862","65393714","88240651","2.78","1.35"
"2023-07-23","23511701","64886414","87749775","2.76","1.35"
"2023-07-30","23529327","65124683","87004508","2.77","1.34"
"2023-08-06","23546998","65743130","93633945","2.79","1.42"
"2023-08-13","23563066","66121943","90525270","2.81","1.37"
"2023-08-20","23579596","66364011","89849823","2.81","1.35"
"2023-08-27","23595771","66147852","91619686","2.80","1.39"
"2023-09-03","23611007","65307294","89928442","2.77","1.38"
"2023-09-10","23625570","65038675","90404146","2.75","1.39"
"2023-09-17","23638686","64434755","102749628","2.73","1.59"
"2023-09-24","23652298","63691812","78000997","2.69","1.22"
"2023-10-01","23667333","62932614","87795273","2.66","1.40"
"2023-10-08","23683669","62041177","85545153","2.62","1.38"
"2023-10-15","23698449","61367243","82046972","2.59","1.34"
"2023-10-22","23379702","60667241","82650966","2.59","1.36"
"2023-10-29","23395525","60130187","82134553","2.57","1.37"
"2023-11-05","23410703","59498351","80664178","2.54","1.36"
"2023-11-12","23425705","59079983","81349746","2.52","1.38"
"2023-11-19","23441822","58821394","57172064","2.51","0.97"
"2023-11-26","23456444","59143715","109380707","2.52","1.85"
"2023-12-03","23488198","59441661","87297364","2.53","1.47"
"2023-12-10","23508839","59650271","75848203","2.54","1.27"
"2023-12-17","23460999","59356990","63555871","2.53","1.07"
"2023-12-24","23198919","59102220","78967672","2.55","1.34"
"2023-12-31","23121204","59281983","85466099","2.56","1.44"
"2024-01-07","23076777","62013628","46586750","2.69","0.75"
"2024-01-14","23031477","62881334","105281152","2.73","1.67"
"2024-01-21","22988496","63378286","128089287","2.76","2.02"
"2024-01-28","22954335","63944402","79181460","2.79","1.24"
"2024-02-04","22875106","62111574","95687080","2.72","1.54"
"2024-02-11","22584476","62152442","100831283","2.75","1.62"
"2024-02-18","22395397","62419502","88989872","2.79","1.43"
"2024-02-25","22408821","63119496","95357178","2.82","1.51"