"Date","Spotify followers","Youtube subscribers","Instagram followers","Facebook followers","Deezer fans","X followers","Soundcloud followers","Tiktok followers"
"2023-03-06","2","0","-8","-3","0","1","1",""
"2023-03-13","5","0","-28","1","0","2","3",""
"2023-03-20","4","0","-13","4","0","0","8",""
"2023-03-27","1","0","-13","3","0","1","4",""
"2023-04-03","7","0","-4","4","0","1","4",""
"2023-04-10","1","0","-8","2","0","1","4",""
"2023-04-17","2","0","-60","-2","0","0","5",""
"2023-04-24","3","0","256","5","0","0","14",""
"2023-05-01","3","1","-81","15","0","0","2",""
"2023-05-08","1","1","-563","9","0","0","11",""
"2023-05-15","2","0","-207","9","1","0","12",""
"2023-05-22","0","0","-182","12","0","0","1",""
"2023-05-29","4","0","-13","2","0","0","-1",""
"2023-06-05","1","1","-3","10","0","0","4",""
"2023-06-12","3","0","-20","11","0","0","7",""
"2023-06-19","2","1","-23","2","0","0","6",""
"2023-06-26","1","0","-9","12","0","0","6",""
"2023-07-03","2","0","20","7","0","0","11",""
"2023-07-10","6","0","3","2","1","0","8",""
"2023-07-17","2","0","-102","2","0","0","6",""
"2023-07-24","2","0","6","-2","0","0","7",""
"2023-07-31","2","0","-7","2","0","0","1",""
"2023-08-07","2","0","-27","3","0","0","3",""
"2023-08-14","0","0","-12","-1","0","0","3",""
"2023-08-21","4","0","-5","-6","0","0","5",""
"2023-08-28","2","0","-10","1","0","0","5",""
"2023-09-04","1","0","-12","-3","0","0","3",""
"2023-09-11","3","0","-23","1","0","0","3",""
"2023-09-18","0","0","-14","3","0","0","3",""
"2023-09-25","2","0","-11","1","0","0","4",""
"2023-10-02","2","0","-2","2","0","0","9",""
"2023-10-09","4","0","-1","-1","1","0","4",""
"2023-10-16","5","1","1","-1","0","0","4",""
"2023-10-23","-2","0","52","-1","1","0","2",""
"2023-10-30","4","0","-8","1","0","0","2",""
"2023-11-06","9","0","-10","-2","0","0","7",""
"2023-11-13","4","0","-6","-2","0","0","-12",""
"2023-11-20","10","0","0","1","0","0","8",""
"2023-11-27","7","0","9","1","1","0","5",""
"2023-12-04","5","1","0","-1","0","0","2",""
"2023-12-11","11","1","21","1","0","0","3",""
"2023-12-18","6","0","-581","2","1","0","5",""
"2023-12-25","9","0","-83","0","1","0","4",""
"2024-01-01","-1","1","9","0","1","0","14",""
"2024-01-08","7","0","36","0","0","0","7",""
"2024-01-15","7","0","-89","9","0","0","12",""
"2024-01-22","62","3","-623","10","0","0","7",""
"2024-01-29","9","3","0","2","1","0","3",""
"2024-02-05","6","0","0","0","0","0","6",""
"2024-02-12","60","0","0","-1","0","0","4",""
"2024-02-19","0","0","0","-1","0","0","7",""
"2024-02-26","2","0","0","-2","0","0","1",""