"Channel","Track","Artists","Release date","Engagement 1w","Engagement 1m","Engagement Total"
"Shazam","Interstellar (Danny Fontana Remix)","Zakari&Blange, DEVID DEGA","2016-08-29","1","N/A","N/A"
"Shazam","Redemption","Zakari&Blange, DEVID DEGA","2016-08-29","N/A","N/A","117"
"Shazam","Nebula - Devid Dega & Juan Pabloo","DEVID DEGA","2017-04-03","N/A","N/A","175"
"Shazam","Oscura","DEVID DEGA","2019-05-31","N/A","N/A","133"
"Shazam","Cosmo","Raul Mezcolanza, DEVID DEGA","2019-07-22","1","N/A","N/A"
"Shazam","Cosmo (Bolster Remix) - Devid Dega & Raul Mezcolanza","Raul Mezcolanza, DEVID DEGA","2019-07-22","1","5","2394"
"Shazam","Antares","DEVID DEGA","2019-08-23","N/A","N/A","672"
"Shazam","Mizar (Heerhorst Remix) - Giorgio Rusconi & Devid Dega","DEVID DEGA, Giorgio Rusconi","2020-03-02","N/A","N/A","2187"
"Shazam","Mizar","Giorgio Rusconi, DEVID DEGA","2020-03-02","N/A","2","424"
"Shazam","Alien Interface","BILBONI, DEVID DEGA","2020-04-24","1","8","N/A"
"Shazam","The Dark Knight (Marcal Remix)","DEVID DEGA","2020-06-22","1","3","203"
"Shazam","Dancing Machine","Fulvio Ferretta, DEVID DEGA","2020-09-28","0","N/A","N/A"
"Shazam","Zero Theorem (Marrie Remix) - Devid Dega","DEVID DEGA","2020-08-18","N/A","5","584"
"Shazam","Mental Illusion","Konfusia, DEVID DEGA","2021-10-08","0","N/A","N/A"
"Shazam","Your Energy","DEVID DEGA","2022-06-23","N/A","N/A","337"
"Shazam","Darkness (feat. Millie Forsberg)","Nico Cabeza, DEVID DEGA","2022-09-30","N/A","2","N/A"
"Shazam","Even the Truth","DEVID DEGA","2023-10-13","1","6","N/A"
"Shazam","Spinner","DEVID DEGA","2023-10-13","N/A","11","N/A"
"Shazam","Emptiness","Giza DJs, DEVID DEGA","2023-12-15","6","20","N/A"
"Shazam","Crazy V (Radio Edit)","DEVID DEGA","2024-01-18","2","19","N/A"
"Airplay","Devid Dega, Durtysoxxx - Introll (Original Mix)","DEVID DEGA","2023-03-22","4","39","N/A"
"Airplay","Devid Dega; Dok & Martin - Fly With The Beat","DEVID DEGA","2021-08-25","3","27","N/A"
"Airplay","Devid Dega; Dok & Martin - Devoted","DEVID DEGA","2021-08-25","2","28","N/A"
"Airplay","Devid Dega, juan Pabloo - Asteroid","DEVID DEGA","2021-08-25","1","N/A","N/A"
"Airplay","Devid Dega - Green Pearl (Marck D Buitrago Remix)","DEVID DEGA","2020-01-01","1","4","N/A"
"Airplay","Devid Dega - Twisted Symphony (Superstrobe Remix)","DEVID DEGA","2021-08-25","1","N/A","N/A"
"Airplay","Giorgio Rusconi, Devid Dega, Heerhorst - Mizar (Heerhorst Remix)","DEVID DEGA","2023-10-17","1","9","N/A"
"Airplay","Devid Dega - Voyager (original mix)","DEVID DEGA","2017-01-01","N/A","6","N/A"
"Airplay","Devid Dega - Moka (Nino Bua Remix)","DEVID DEGA","","N/A","6","N/A"
"Airplay","Devid Dega, Dexon - Terrestrial","DEVID DEGA","2017-01-01","N/A","5","N/A"
"Airplay","Devid Dega & Julian Ess - Paranormal","DEVID DEGA","2021-08-25","N/A","4","N/A"
"Airplay","Devid Dega - Calyptra","DEVID DEGA","2017-01-01","N/A","3","N/A"
"Spotify","Krypton - Devid Dega Remix","Frank Kvitta, DEVID DEGA","2018-05-22","193","748","N/A"
"Spotify","Emptiness","Eleonora, DEVID DEGA, Giza DJs","2023-12-15","174","1020","14203"
"Spotify","Zero Theorem - Marrie Remix","DEVID DEGA, Marrie","2020-08-18","132","531","N/A"
"Spotify","Spinner","DEVID DEGA","2023-10-13","127","773","N/A"
"Spotify","Crazy V - Radio Edit","DEVID DEGA","2024-01-04","111","559","N/A"
"Spotify","Even The Truth","DEVID DEGA","2023-10-13","92","421","N/A"
"Spotify","Cosmo - Bolster Remix","DEVID DEGA, Raul Mezcolanza, Bolster","2019-07-08","70","311","50684"
"Spotify","Robotika - Andrea Signore & Mha Iri Remix","DEVID DEGA, Andrea Signore, Mha Iri","2019-09-02","66","302","24063"
"Spotify","Humanoid - Devid Dega Remix","Superstrobe, DEVID DEGA","2019-04-29","59","278","36127"
"Spotify","Metamorphosis","DEVID DEGA, Fulvio Ferretta","2022-08-19","47","792","N/A"
"Spotify","Lizard - Devid Dega Rework","Mauro Picotto, DEVID DEGA","2017-07-14","N/A","N/A","78535"
"Spotify","Oscura - Original Mix","DEVID DEGA, Dok & Martin","2019-04-19","N/A","N/A","41390"
"Spotify","Swim Deep - Original Mix","DEVID DEGA, Mattew Jay","2014-01-06","N/A","N/A","25055"
"Spotify","Majorka - Devid Dega Remix","Johnny Kaos, Mattew Jay, DEVID DEGA","2011-04-20","N/A","N/A","24927"
"Spotify","Unstoppable","Durtysoxxx, DEVID DEGA","2020-07-31","N/A","N/A","22243"
"Spotify","Dichotomy - Devid Dega Remix","Nihil Young, Shay De Castro, DEVID DEGA","2019-09-02","N/A","N/A","12752"
"Youtube","Devid Dega & BILBONI - After Earth (Original Mix)","DEVID DEGA","2020-08-12","11","52","22379"
"Youtube","Devid Dega - Spinner_(Original Mix)","DEVID DEGA","2024-01-10","6","34","N/A"
"Youtube","Giorgio Rusconi & Devid Dega - Antares (Original Mix)","DEVID DEGA","2019-09-22","5","14","15233"
"Youtube","Mauro Picotto - Lizard (Devid Dega rework)","DEVID DEGA","2017-08-19","2","8","7281"
"Youtube","Devid Dega @ MadeInTown @ Dhome - Trieste  (9-11-2018)","DEVID DEGA","2018-12-06","1","2","N/A"
"Youtube","Devid Dega 11-7-2018  @ Plac Belvedere -Izola (Slo)","DEVID DEGA","2018-07-14","1","N/A","N/A"
"Youtube","Devid Dega' & Maikol P @ Vanità Mantova 18-10-08","DEVID DEGA","2008-11-24","1","N/A","N/A"
"Youtube","Devid Degà & Miss Roby@Vanità Mantova 5-7-08","DEVID DEGA","2008-07-11","1","N/A","N/A"
"Youtube","Devid Dega, Dok & Martin - Devoted (Original Mix)","DEVID DEGA","2019-01-26","1","4","10770"
"Youtube","Devid Dega, Dok & Martin - Fly With The Beat (Original Mix)","DEVID DEGA","2019-01-26","1","8","11364"
"Youtube","Adam Beyer plays Mauro Picotto - Lizard (Devid Dega rework) Awakenings Festival 2018","DEVID DEGA","2018-07-02","N/A","11","1415"
"Youtube","Devid Dega @ Techno Tuesday Amsterdam _Melkweg 23-08-22","DEVID DEGA","2022-08-25","N/A","3","N/A"
"Youtube","JOSEPH CAPRIATI plays Devid Dega - Your Energy  @Kappa FuturFestival ITALY 2022","DEVID DEGA","2022-07-09","N/A","1","N/A"
"Youtube","DEVID DEGA - MOONSTRUCK played by DUBFIRE @ TIME WARP 2013","DEVID DEGA","2013-04-11","N/A","N/A","5889"
"Youtube","Sam Paganini plays Devid Dega, Omis (Italy)  - Interest__ at STRAF WERK Amsterdam 20 08 22","DEVID DEGA","2022-08-21","N/A","N/A","2785"
"Youtube","Devid Dega @ City Hall_ Barcellona _Sequenz Event (11-6-22)","DEVID DEGA","2022-06-14","N/A","N/A","1812"
"Youtube","Devid dega' + Miss Roby@Vanità","DEVID DEGA","2008-07-08","N/A","N/A","1317"