"Date","Soundcloud followers","Soundcloud plays","Soundcloud likes","Soundcloud comments","Soundcloud reposts"
"Dec 2022","30","880","33","1","8"
"Jan 2023","17","767","13","2","2"
"Feb 2023","22","864","26","2","4"
"Mar 2023","23","1150","54","13","6"
"Apr 2023","25","929","29","7","2"
"May 2023","27","848","40","2","8"
"Jun 2023","24","1260","57","0","14"
"Jul 2023","15","882","8","6","-1"
"Aug 2023","20","514","6","2","-1"
"Sep 2023","11","720","-3","3","2"
"Oct 2023","11","978","39","0","0"
"Nov 2023","24","966","24","2","5"
"Dec 2023","30","1278","47","13","12"
"Jan 2024","19","768","26","2","5"