"Date","Spotify streams","Youtube views","Instagram post likes","Shazams","Airplay spins","X likes","Soundcloud plays","Tiktok likes"
"2023-03-06","856","47","0","23","12","0","97",""
"2023-03-13","817","19","155","43","16","0","201",""
"2023-03-20","801","36","97","48","20","0","146",""
"2023-03-27","731","33","436","47","13","0","239",""
"2023-04-03","957","53","470","49","16","0","211",""
"2023-04-10","772","59","62","58","18","0","221",""
"2023-04-17","718","86","229","78","19","0","223",""
"2023-04-24","755","48","265","51","13","0","301",""
"2023-05-01","992","38","27","40","17","0","335",""
"2023-05-08","755","57","10","35","19","0","244",""
"2023-05-15","7495","29","6","9","19","0","269",""
"2023-05-22","4716","30","2","18","19","0","188",""
"2023-05-29","1229","33","48","12","19","0","145",""
"2023-06-05","748","32","91","8","23","0","185",""
"2023-06-12","1825","35","3","6","12","0","187",""
"2023-06-19","827","39","213","6","14","0","146",""
"2023-06-26","766","17","6","4","14","0","144",""
"2023-07-03","712","43","147","10","7","0","475",""
"2023-07-10","802","34","15","3","10","0","318",""
"2023-07-17","772","34","125","6","12","0","296",""
"2023-07-24","778","31","3","1","13","0","249",""
"2023-07-31","656","36","3","4","12","0","162",""
"2023-08-07","747","36","5","2","10","0","177",""
"2023-08-14","725","31","1","3","11","0","136",""
"2023-08-21","590","15","8","7","7","0","365",""
"2023-08-28","661","16","12","12","7","0","180",""
"2023-09-04","625","20","2","2","13","0","97",""
"2023-09-11","572","24","3","4","18","0","151",""
"2023-09-18","683","22","31","3","15","0","109",""
"2023-09-25","596","10","47","2","27","0","97",""
"2023-10-02","639","30","52","4","15","0","129",""
"2023-10-09","637","20","16","4","15","0","96",""
"2023-10-16","600","29","105","2","16","0","196",""
"2023-10-23","605","17","83","5","14","0","228",""
"2023-10-30","725","17","27","4","15","0","139",""
"2023-11-06","662","28","20","5","14","0","202",""
"2023-11-13","680","33","2","4","13","0","243",""
"2023-11-20","617","18","3","15","7","0","156",""
"2023-11-27","1460","32","3","17","15","0","291",""
"2023-12-04","1016","23","22","20","13","0","236",""
"2023-12-11","769","23","60","25","17","0","133",""
"2023-12-18","767","28","0","9","15","0","134",""
"2023-12-25","4127","26","0","6","20","0","129",""
"2024-01-01","2845","28","0","15","15","0","465",""
"2024-01-08","1014","28","3","15","17","0","212",""
"2024-01-15","4238","21","27","33","16","0","228",""
"2024-01-22","5176","176","217","16","20","0","534",""
"2024-01-29","1471","172","0","20","20","0","211",""
"2024-02-05","2471","36","0","33","18","0","224",""
"2024-02-12","2344","24","0","26","13","0","186",""
"2024-02-19","1491","51","0","18","24","0","217",""
"2024-02-26","1497","30","0","13","15","0","147",""