"Date","Viberate points"
"2023-02-24","355"
"2023-02-25","348"
"2023-02-26","347"
"2023-02-27","345"
"2023-02-28","347"
"2023-03-01","333"
"2023-03-02","331"
"2023-03-03","328"
"2023-03-04","329"
"2023-03-05","324"
"2023-03-06","325"
"2023-03-07","324"
"2023-03-08","327"
"2023-03-09","330"
"2023-03-10","332"
"2023-03-11","334"
"2023-03-12","335"
"2023-03-13","329"
"2023-03-14","329"
"2023-03-15","328"
"2023-03-16","331"
"2023-03-17","330"
"2023-03-18","329"
"2023-03-19","326"
"2023-03-20","324"
"2023-03-21","355"
"2023-03-22","357"
"2023-03-23","351"
"2023-03-24","354"
"2023-03-25","351"
"2023-03-26","352"
"2023-03-27","353"
"2023-03-28","352"
"2023-03-29","343"
"2023-03-30","336"
"2023-03-31","328"
"2023-04-01","331"
"2023-04-02","326"
"2023-04-03","329"
"2023-04-04","326"
"2023-04-05","326"
"2023-04-06","318"
"2023-04-07","316"
"2023-04-08","310"
"2023-04-09","310"
"2023-04-10","304"
"2023-04-11","296"
"2023-04-12","294"
"2023-04-13","294"
"2023-04-14","292"
"2023-04-15","298"
"2023-04-16","295"
"2023-04-17","296"
"2023-04-18","294"
"2023-04-19","295"
"2023-04-20","293"
"2023-04-21","290"
"2023-04-22","288"
"2023-04-23","288"
"2023-04-24","286"
"2023-04-25","284"
"2023-04-26","286"
"2023-04-27","283"
"2023-04-28","282"
"2023-04-29","280"
"2023-04-30","280"
"2023-05-01","275"
"2023-05-02","273"
"2023-05-03","267"
"2023-05-04","267"
"2023-05-05","266"
"2023-05-06","264"
"2023-05-07","265"
"2023-05-08","265"
"2023-05-09","266"
"2023-05-10","264"
"2023-05-11","266"
"2023-05-12","265"
"2023-05-13","263"
"2023-05-14","262"
"2023-05-15","265"
"2023-05-16","264"
"2023-05-17","263"
"2023-05-18","260"
"2023-05-19","258"
"2023-05-20","258"
"2023-05-21","257"
"2023-05-22","259"
"2023-05-23","257"
"2023-05-24","254"
"2023-05-25","256"
"2023-05-26","253"
"2023-05-27","253"
"2023-05-28","253"
"2023-05-29","254"
"2023-05-30","257"
"2023-05-31","259"
"2023-06-01","258"
"2023-06-02","261"
"2023-06-03","260"
"2023-06-04","259"
"2023-06-05","257"
"2023-06-06","256"
"2023-06-07","253"
"2023-06-08","253"
"2023-06-09","251"
"2023-06-10","253"
"2023-06-11","253"
"2023-06-12","251"
"2023-06-13","248"
"2023-06-14","243"
"2023-06-15","240"
"2023-06-16","232"
"2023-06-17","226"
"2023-06-18","218"
"2023-06-19","210"
"2023-06-20","213"
"2023-06-21","214"
"2023-06-22","215"
"2023-06-23","215"
"2023-06-24","214"
"2023-06-25","214"
"2023-06-26","214"
"2023-06-27","212"
"2023-06-28","212"
"2023-06-29","212"
"2023-06-30","213"
"2023-07-01","212"
"2023-07-02","212"
"2023-07-03","213"
"2023-07-04","211"
"2023-07-05","212"
"2023-07-06","211"
"2023-07-07","210"
"2023-07-08","210"
"2023-07-09","208"
"2023-07-10","208"
"2023-07-11","208"
"2023-07-12","208"
"2023-07-13","208"
"2023-07-14","208"
"2023-07-15","208"
"2023-07-16","208"
"2023-07-17","183"
"2023-07-18","183"
"2023-07-19","183"
"2023-07-20","183"
"2023-07-21","183"
"2023-07-22","183"
"2023-07-23","183"
"2023-07-24","183"
"2023-07-25","40"
"2023-07-26","40"
"2023-07-27","40"
"2023-07-28","40"
"2023-07-29","40"
"2023-07-30","187"
"2023-07-31","186"
"2023-08-01","187"
"2023-08-02","186"
"2023-08-03","186"
"2023-08-04","186"
"2023-08-05","186"
"2023-08-06","186"
"2023-08-07","189"
"2023-08-08","188"
"2023-08-09","186"
"2023-08-10","186"
"2023-08-11","188"
"2023-08-12","194"
"2023-08-13","193"
"2023-08-14","193"
"2023-08-15","196"
"2023-08-16","196"
"2023-08-17","196"
"2023-08-18","196"
"2023-08-19","196"
"2023-08-20","197"
"2023-08-21","198"
"2023-08-22","195"
"2023-08-23","196"
"2023-08-24","195"
"2023-08-25","195"
"2023-08-26","199"
"2023-08-27","199"
"2023-08-28","199"
"2023-08-29","199"
"2023-08-30","199"
"2023-08-31","200"
"2023-09-01","200"
"2023-09-02","198"
"2023-09-03","198"
"2023-09-04","201"
"2023-09-05","201"
"2023-09-06","199"
"2023-09-07","202"
"2023-09-08","203"
"2023-09-09","203"
"2023-09-10","202"
"2023-09-11","218"
"2023-09-12","218"
"2023-09-13","221"
"2023-09-14","222"
"2023-09-15","221"
"2023-09-16","232"
"2023-09-17","233"
"2023-09-18","233"
"2023-09-19","237"
"2023-09-20","241"
"2023-09-21","238"
"2023-09-22","237"
"2023-09-23","238"
"2023-09-24","238"
"2023-09-25","230"
"2023-09-26","230"
"2023-09-27","229"
"2023-09-28","229"
"2023-09-29","229"
"2023-09-30","236"
"2023-10-01","237"
"2023-10-02","238"
"2023-10-03","236"
"2023-10-04","236"
"2023-10-05","246"
"2023-10-06","244"
"2023-10-07","262"
"2023-10-08","263"
"2023-10-09","262"
"2023-10-10","264"
"2023-10-11","278"
"2023-10-12","275"
"2023-10-13","274"
"2023-10-14","272"
"2023-10-15","270"
"2023-10-16","282"
"2023-10-17","246"
"2023-10-18","241"
"2023-10-19","242"
"2023-10-20","246"
"2023-10-21","245"
"2023-10-22","246"
"2023-10-23","247"
"2023-10-24","241"
"2023-10-25","240"
"2023-10-26","242"
"2023-10-27","241"
"2023-10-28","232"
"2023-10-29","255"
"2023-10-30","258"
"2023-10-31","267"
"2023-11-01","264"
"2023-11-02","262"
"2023-11-03","264"
"2023-11-04","260"
"2023-11-05","271"
"2023-11-06","271"
"2023-11-07","274"
"2023-11-08","276"
"2023-11-09","297"
"2023-11-10","295"
"2023-11-11","291"
"2023-11-12","294"
"2023-11-13","293"
"2023-11-14","288"
"2023-11-15","288"
"2023-11-16","291"
"2023-11-17","306"
"2023-11-18","311"
"2023-11-19","302"
"2023-11-20","302"
"2023-11-21","302"
"2023-11-22","306"
"2023-11-23","303"
"2023-11-24","304"
"2023-11-25","297"
"2023-11-26","297"
"2023-11-27","292"
"2023-11-28","294"
"2023-11-29","294"
"2023-11-30","298"
"2023-12-01","298"
"2023-12-02","286"
"2023-12-03","313"
"2023-12-04","315"
"2023-12-05","312"
"2023-12-06","314"
"2023-12-07","323"
"2023-12-08","315"
"2023-12-09","313"
"2023-12-10","312"
"2023-12-11","318"
"2023-12-12","318"
"2023-12-13","314"
"2023-12-14","310"
"2023-12-15","346"
"2023-12-16","343"
"2023-12-17","345"
"2023-12-18","339"
"2023-12-19","344"
"2023-12-20","349"
"2023-12-21","358"
"2023-12-22","363"
"2023-12-23","370"
"2023-12-24","378"
"2023-12-25","376"
"2023-12-26","378"
"2023-12-27","384"
"2023-12-28","381"
"2023-12-29","372"
"2023-12-30","370"
"2023-12-31","373"
"2024-01-01","371"
"2024-01-02","370"
"2024-01-03","363"
"2024-01-04","350"
"2024-01-05","332"
"2024-01-06","324"
"2024-01-07","312"
"2024-01-08","304"
"2024-01-09","300"
"2024-01-10","304"
"2024-01-11","308"
"2024-01-12","307"
"2024-01-13","302"
"2024-01-14","304"
"2024-01-15","315"
"2024-01-16","317"
"2024-01-17","316"
"2024-01-18","318"
"2024-01-19","319"
"2024-01-20","319"
"2024-01-21","303"
"2024-01-22","283"
"2024-01-23","278"
"2024-01-24","265"
"2024-01-25","259"
"2024-01-26","250"
"2024-01-27","241"
"2024-01-28","240"
"2024-01-29","240"
"2024-01-30","238"
"2024-01-31","242"
"2024-02-01","242"
"2024-02-02","234"
"2024-02-03","230"
"2024-02-04","231"
"2024-02-05","223"
"2024-02-06","214"
"2024-02-07","204"
"2024-02-08","208"
"2024-02-09","0"
"2024-02-10","214"
"2024-02-11","217"
"2024-02-12","220"
"2024-02-13","218"
"2024-02-14","213"
"2024-02-15","207"
"2024-02-16","209"
"2024-02-17","211"
"2024-02-18","211"
"2024-02-19","0"
"2024-02-20","210"
"2024-02-21","210"
"2024-02-22","210"
"2024-02-23","212"
"2024-02-24","216"