"Date","Viberate performance points","Viberate rank"
"2023-02-27","618725","N/A"
"2023-02-28","616597","3256"
"2023-03-01","618045","3262"
"2023-03-02","620270","3286"
"2023-03-03","619820","3290"
"2023-03-04","617331","3304"
"2023-03-05","608692","3360"
"2023-03-06","607758","3364"
"2023-03-07","602830","3361"
"2023-03-08","603323","3361"
"2023-03-09","603321","3356"
"2023-03-10","603838","3366"
"2023-03-11","603742","3359"
"2023-03-12","603295","3369"
"2023-03-13","603423","3360"
"2023-03-14","600396","3355"
"2023-03-15","599275","3361"
"2023-03-16","597728","3366"
"2023-03-17","597651","3370"
"2023-03-18","602289","3356"
"2023-03-19","601567","3367"
"2023-03-20","602075","3366"
"2023-03-21","600667","3351"
"2023-03-22","598949","3367"
"2023-03-23","599537","3363"
"2023-03-24","598879","3365"
"2023-03-25","598890","3368"
"2023-03-26","598479","3366"
"2023-03-27","600298","3358"
"2023-03-28","595444","3343"
"2023-03-29","602835","3309"
"2023-03-30","602655","3307"
"2023-03-31","602493","3308"
"2023-04-01","602561","3306"
"2023-04-02","602080","3309"
"2023-04-03","605199","3303"
"2023-04-04","602251","3300"
"2023-04-05","602084","3303"
"2023-04-06","602482","3311"
"2023-04-07","601034","3310"
"2023-04-08","600697","3304"
"2023-04-09","598320","3326"
"2023-04-10","595956","3342"
"2023-04-11","597354","3316"
"2023-04-12","602367","3351"
"2023-04-13","607388","3393"
"2023-04-14","610607","3409"
"2023-04-15","609127","3406"
"2023-04-16","612131","3387"
"2023-04-17","619412","3342"
"2023-04-18","619096","3336"
"2023-04-19","618852","3326"
"2023-04-20","621292","3317"
"2023-04-21","621194","3313"
"2023-04-22","623161","3314"
"2023-04-23","622713","3317"
"2023-04-24","622823","3320"
"2023-04-25","623329","3326"
"2023-04-26","621139","3335"
"2023-04-27","621091","3333"
"2023-04-28","628961","3284"
"2023-04-29","625696","3272"
"2023-04-30","627951","3258"
"2023-05-01","626868","3264"
"2023-05-02","630026","3245"
"2023-05-03","630597","3240"
"2023-05-04","631419","3253"
"2023-05-05","633784","3244"
"2023-05-06","633795","3234"
"2023-05-07","633581","3221"
"2023-05-08","632585","3231"
"2023-05-09","632293","3229"
"2023-05-10","631659","3233"
"2023-05-11","630986","3238"
"2023-05-12","630879","3240"
"2023-05-13","631168","3234"
"2023-05-14","632297","3224"
"2023-05-15","633105","3224"
"2023-05-16","637063","3210"
"2023-05-17","638803","3205"
"2023-05-18","639127","3208"
"2023-05-19","639186","3201"
"2023-05-20","639244","3197"
"2023-05-21","651986","3133"
"2023-05-22","652006","3132"
"2023-05-23","650313","3140"
"2023-05-24","651759","3099"
"2023-05-25","647441","3036"
"2023-05-26","644864","3017"
"2023-05-27","647086","3011"
"2023-05-28","646655","3005"
"2023-05-29","644374","2996"
"2023-05-30","652112","2965"
"2023-05-31","669449","2901"
"2023-06-01","669417","2904"
"2023-06-02","674815","2874"
"2023-06-03","674153","2880"
"2023-06-04","674599","2882"
"2023-06-05","677050","2852"
"2023-06-06","681742","2846"
"2023-06-07","681539","2845"
"2023-06-08","681071","2846"
"2023-06-09","672715","2903"
"2023-06-10","671821","2902"
"2023-06-11","678147","2967"
"2023-06-12","688311","2916"
"2023-06-13","690304","2914"
"2023-06-14","690606","2914"
"2023-06-15","685945","2929"
"2023-06-16","684916","2929"
"2023-06-17","683781","2935"
"2023-06-18","684182","2937"
"2023-06-19","687643","2933"
"2023-06-20","689468","2938"
"2023-06-21","689881","2943"
"2023-06-22","690527","2945"
"2023-06-23","689686","2943"
"2023-06-24","690712","2944"
"2023-06-25","694591","2923"
"2023-06-26","703047","2883"
"2023-06-27","704295","2887"
"2023-06-28","705090","2878"
"2023-06-29","707115","2872"
"2023-06-30","708961","2864"
"2023-07-01","709512","2867"
"2023-07-02","710470","2864"
"2023-07-03","710694","2864"
"2023-07-04","713333","2867"
"2023-07-05","713393","2877"
"2023-07-06","714245","2878"
"2023-07-07","718944","2866"
"2023-07-08","718615","2871"
"2023-07-09","719161","2877"
"2023-07-10","722118","2874"
"2023-07-11","720817","2896"
"2023-07-12","720908","2896"
"2023-07-13","709314","2909"
"2023-07-14","709610","2911"
"2023-07-15","707674","2925"
"2023-07-16","707932","2920"
"2023-07-17","707955","2933"
"2023-07-18","711164","2929"
"2023-07-19","712052","2939"
"2023-07-20","713365","2945"
"2023-07-21","714898","2944"
"2023-07-22","716406","2943"
"2023-07-23","717265","2946"
"2023-07-24","717126","2948"
"2023-07-25","721536","2930"
"2023-07-26","722325","2931"
"2023-07-27","719240","2952"
"2023-07-28","720619","2968"
"2023-07-29","722008","2964"
"2023-07-30","722912","2958"
"2023-07-31","724757","2955"
"2023-08-01","721600","2975"
"2023-08-02","722156","2979"
"2023-08-03","724761","2970"
"2023-08-04","729212","2972"
"2023-08-05","730795","2974"
"2023-08-06","731944","2971"
"2023-08-07","732341","2972"
"2023-08-08","734097","2969"
"2023-08-09","732597","2971"
"2023-08-10","732883","2962"
"2023-08-11","733072","2961"
"2023-08-12","732322","2953"
"2023-08-13","731524","2956"
"2023-08-14","732426","2958"
"2023-08-15","733351","2951"
"2023-08-16","733958","2956"
"2023-08-17","732053","2976"
"2023-08-18","728759","2991"
"2023-08-19","727512","2998"
"2023-08-20","726761","3005"
"2023-08-21","727244","3005"
"2023-08-22","722203","3025"
"2023-08-23","717808","3044"
"2023-08-24","717817","3055"
"2023-08-25","717888","3063"
"2023-08-26","717035","3073"
"2023-08-27","716060","3080"
"2023-08-28","713741","3091"
"2023-08-29","707287","3123"
"2023-08-30","707379","3119"
"2023-08-31","707516","3114"
"2023-09-01","705242","3129"
"2023-09-02","700421","3150"
"2023-09-03","707033","3124"
"2023-09-04","707227","3128"
"2023-09-05","704947","3140"
"2023-09-06","708095","3133"
"2023-09-07","708768","3151"
"2023-09-08","709504","3151"
"2023-09-09","708681","3160"
"2023-09-10","708313","3167"
"2023-09-11","708481","3171"
"2023-09-12","705840","3171"
"2023-09-13","706269","3173"
"2023-09-14","696104","3223"
"2023-09-15","685268","3246"
"2023-09-16","692710","3241"
"2023-09-17","691042","3253"
"2023-09-18","689523","3254"
"2023-09-19","682898","3271"
"2023-09-20","684343","3271"
"2023-09-21","684647","3298"
"2023-09-22","685006","3302"
"2023-09-23","682694","3311"
"2023-09-24","683209","3314"
"2023-09-25","683848","3313"
"2023-09-26","678359","3315"
"2023-09-27","660372","3375"
"2023-09-28","659597","3383"
"2023-09-29","658969","3389"
"2023-09-30","659669","3387"
"2023-10-01","660216","3390"
"2023-10-02","660111","3394"
"2023-10-03","656716","3399"
"2023-10-04","655440","3402"
"2023-10-05","656969","3399"
"2023-10-06","656631","3400"
"2023-10-07","653073","3418"
"2023-10-08","652942","3415"
"2023-10-09","653387","3420"
"2023-10-10","631817","3292"
"2023-10-11","643559","3280"
"2023-10-12","644036","3274"
"2023-10-13","633326","3344"
"2023-10-14","633404","3342"
"2023-10-15","632992","3348"
"2023-10-16","634122","3338"
"2023-10-17","630701","3326"
"2023-10-18","648925","3454"
"2023-10-19","648018","3459"
"2023-10-20","645227","3483"
"2023-10-21","644482","3496"
"2023-10-22","643643","3484"
"2023-10-23","644868","3468"
"2023-10-24","642821","3459"
"2023-10-25","642032","3460"
"2023-10-26","640641","3431"
"2023-10-27","640493","3437"
"2023-10-28","638704","3414"
"2023-10-29","637541","3420"
"2023-10-30","638378","3415"
"2023-10-31","637079","3417"
"2023-11-01","628798","3467"
"2023-11-02","628944","3477"
"2023-11-03","626184","3482"
"2023-11-04","626303","3474"
"2023-11-05","625884","3477"
"2023-11-06","623293","3501"
"2023-11-07","623298","3502"
"2023-11-08","622861","3504"
"2023-11-09","623205","3498"
"2023-11-10","622801","3507"
"2023-11-11","622700","3519"
"2023-11-12","622463","3530"
"2023-11-13","623151","3526"
"2023-11-14","621007","3561"
"2023-11-15","613049","3620"
"2023-11-16","612672","3619"
"2023-11-17","612780","3629"
"2023-11-18","612823","3628"
"2023-11-19","604338","3681"
"2023-11-20","602240","3663"
"2023-11-21","600859","3660"
"2023-11-22","603426","3655"
"2023-11-23","598925","3665"
"2023-11-24","599269","3668"
"2023-11-25","599292","3654"
"2023-11-26","599072","3653"
"2023-11-27","589819","3718"
"2023-11-28","591008","3716"
"2023-11-29","590944","3720"
"2023-11-30","589119","3741"
"2023-12-01","589119","3741"
"2023-12-02","577244","3801"
"2023-12-03","577685","3806"
"2023-12-04","579928","3805"
"2023-12-05","580137","3808"
"2023-12-06","580452","3808"
"2023-12-07","577656","3805"
"2023-12-08","575442","3810"
"2023-12-09","574570","3797"
"2023-12-10","573784","3796"
"2023-12-11","573600","3807"
"2023-12-12","573654","3808"
"2023-12-13","573141","3807"
"2023-12-14","603197","3729"
"2023-12-15","604599","3758"
"2023-12-16","602130","3765"
"2023-12-17","602818","3753"
"2023-12-18","602048","3774"
"2023-12-19","602375","3772"
"2023-12-20","592134","3837"
"2023-12-21","590816","3840"
"2023-12-22","590473","3841"
"2023-12-23","587688","3854"
"2023-12-24","579266","3905"
"2023-12-25","595296","3840"
"2023-12-26","600623","3828"
"2023-12-27","591828","3896"
"2023-12-28","591936","3881"
"2023-12-29","592175","3873"
"2023-12-30","591728","3876"
"2023-12-31","591252","3870"
"2024-01-01","591094","3869"
"2024-01-02","588864","3872"
"2024-01-03","588395","3877"
"2024-01-04","588310","3865"
"2024-01-05","588321","3867"
"2024-01-06","586970","3885"
"2024-01-07","587519","3861"
"2024-01-08","586011","3872"
"2024-01-09","590690","3863"
"2024-01-10","591291","3855"
"2024-01-11","590946","3852"
"2024-01-12","590627","3871"
"2024-01-13","590450","3879"
"2024-01-14","589744","3877"
"2024-01-15","590117","3881"
"2024-01-16","592930","3868"
"2024-01-17","590535","3887"
"2024-01-18","590633","3878"
"2024-01-19","601879","3802"
"2024-01-20","601879","3802"
"2024-01-21","602355","3848"
"2024-01-22","602497","3797"
"2024-01-23","601022","3805"
"2024-01-24","612964","3808"
"2024-01-25","609367","3827"
"2024-01-26","608319","3840"
"2024-01-27","606912","3842"
"2024-01-28","617257","3768"
"2024-01-29","616538","3765"
"2024-01-30","616268","3751"
"2024-01-31","617567","3772"
"2024-02-01","617567","3772"
"2024-02-02","614930","3799"
"2024-02-03","614989","3798"
"2024-02-04","614297","3806"
"2024-02-05","612349","3805"
"2024-02-06","613083","3802"
"2024-02-07","615585","3767"
"2024-02-08","609301","3786"
"2024-02-09","607006","3785"
"2024-02-10","603539","3757"
"2024-02-11","603405","3763"
"2024-02-12","603821","3766"
"2024-02-13","603921","3777"
"2024-02-14","604404","3777"
"2024-02-15","604843","3777"
"2024-02-16","604322","3777"
"2024-02-17","604593","3772"
"2024-02-18","604070","3773"
"2024-02-19","604070","3773"
"2024-02-20","603819","3771"
"2024-02-21","603605","3772"
"2024-02-22","604470","3768"
"2024-02-23","605205","3755"
"2024-02-24","603324","3758"
"2024-02-25","603559","3750"
"2024-02-26","605435","3729"
"2024-02-27","605939","N/A"